City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
new norfolk,79,AU,1558847841,83,-42.78,147.06,284.82,1.34
langsa,98,ID,1558847841,78,4.47,97.97,301.412,1.82
leningradskiy,1,RU,1558847842,95,69.38,178.42,275.312,0.67
husavik,100,CA,1558847842,90,50.56,-96.99,280.37,1.79
hobart,79,AU,1558847697,82,-42.88,147.33,284.82,1.34
vila franca do campo,20,PT,1558847843,88,37.72,-25.43,290.15,1.5
dikson,100,RU,1558847843,92,73.51,80.55,272.112,7.29
kollam,40,IN,1558847844,66,8.88,76.6,306.15,4.1
padang,20,ID,1558847844,70,-0.92,100.36,304.15,2.1
mogadishu,75,SO,1558847740,70,2.04,45.34,302.15,5.1
yulara,0,AU,1558847845,31,-25.24,130.99,296.15,4.6
nikolskoye,75,RU,1558847845,87,59.7,30.79,283.71,5
charagua,0,BO,1558847846,93,-19.79,-63.2,283.212,1.58
nexo,99,DK,1558847846,87,55.06,15.13,284.15,8.2
chapais,90,CA,1558847846,100,49.78,-74.86,283.15,5.1
mar del plata,17,AR,1558847848,63,-46.43,-67.52,277.012,4.5
souillac,90,FR,1558847848,100,45.6,-0.6,286.48,3.1
luderitz,0,NA,1558847849,21,-26.65,15.16,301.15,7.2
chokurdakh,99,RU,1558847849,100,70.62,147.9,274.012,3.73
orsha,0,BY,1558847849,81,54.51,30.43,284.15,3
nome,1,US,1558847850,88,30.04,-94.42,299.26,2.45
bowen,75,AU,1558847850,61,-20.01,148.25,299.26,4.6
kapaa,90,US,1558847850,74,22.08,-159.32,301.15,4.6
dalton,1,US,1558847851,94,34.77,-84.97,297.15,0.67
huarmey,99,PE,1558847851,95,-10.07,-78.15,290.312,8.18
beyneu,88,KZ,1558847852,22,45.32,55.19,302.012,6.7
potsdam,0,DE,1558847852,81,52.4,13.06,285.37,2.6
nola,98,CF,1558847913,95,3.52,16.05,296.212,0.47
punta arenas,0,CL,1558847913,80,-53.16,-70.91,274.15,3.6
ixtapa,40,MX,1558847913,88,20.71,-105.21,299.26,1
tateyama,0,JP,1558847914,27,36.66,137.31,305.15,3.6
batemans bay,0,AU,1558847914,57,-35.71,150.18,293.71,1.25
nouadhibou,0,MR,1558847915,88,20.93,-17.03,291.15,6.2
tasiilaq,19,GL,1558847915,86,65.61,-37.64,271.15,2.78
cabo san lucas,5,MX,1558847754,68,22.89,-109.91,296.48,6.2
bubaque,100,GW,1558847916,75,11.28,-15.83,299.412,3.79
tabory,45,PL,1558847917,79,53.89,19.53,288.71,3.13
verkhoyansk,33,RU,1558847917,30,67.55,133.39,284.912,4.3
nabire,100,ID,1558847917,70,-3.36,135.5,301.012,1.39
coquimbo,100,CL,1558847917,81,-29.95,-71.34,285.15,1.5
norsup,20,VU,1558847918,65,-16.07,167.38,301.15,3.6
panacan,40,PH,1558847919,62,7.15,125.66,307.04,3.6
san rafael,0,AR,1558847920,31,-34.61,-68.33,283.612,3.29
conceicao do araguaia,22,BR,1558847740,90,-8.26,-49.26,296.712,0.3
belmonte,0,PT,1558847920,63,40.36,-7.35,287.59,2.24
provideniya,29,RU,1558847921,72,64.42,-173.23,279.612,0.57
salalah,40,OM,1558847921,74,17.01,54.1,304.15,2.1
inirida,100,CO,1558847922,97,3.87,-67.92,297.112,0.91
